,starNumber,B,V,V_corrected,B-V,B-V_corrected,spectral type
475,476.0,16.858,16.194,15.234,1.624,1.324,K
476,477.0,19.519,19.028,18.068,1.451,1.151,K
477,478.0,19.718,18.877,17.917,1.801,1.501,K
478,479.0,18.497,17.828,16.868,1.629,1.329,K
479,480.0,16.281,15.936,14.976,1.305,1.005,K
480,481.0,17.834,17.492,16.532,1.302,1.002,K
481,482.0,17.723,16.948,15.988,1.735,1.435,K
482,483.0,17.105,16.803,15.843,1.262,0.962,G
483,484.0,17.942,17.291,16.331,1.611,1.311,K
484,485.0,16.764,15.849,14.889,1.875,1.575,K
485,486.0,17.105,16.302,15.342,1.763,1.463,K
486,487.0,18.421,17.391,16.431,1.99,1.69,M
487,488.0,20.102,19.838,18.878,1.224,0.924,G
488,489.0,19.649,19.411,18.451,1.198,0.898,G
489,490.0,18.746,18.029,17.069,1.677,1.377,K
490,491.0,17.621,16.845,15.885,1.736,1.436,K
491,492.0,,,,,,[UNK]
492,493.0,18.046,17.492,16.532,1.514,1.214,K
493,494.0,16.546,16.074,15.114,1.432,1.132,K
494,495.0,16.435,15.829,14.869,1.566,1.266,K
495,496.0,16.183,15.683,14.723,1.46,1.16,K
496,497.0,16.821,16.339,15.379,1.442,1.142,K
